_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
176,GARDEN VILLA - BEDFORD,Data Submitted,0,6,0
177,GARDEN VILLA - BLOOMINGTON,Data Submitted,0,< 5,0
178,GENTLECARE OF VINCENNES,Data Submitted,0,< 5,0
179,GENTRY PARK,Data Submitted,0,< 5,0
180,GEORGE ADE MEMORIAL HEALTH CARE CENTER,Data Submitted,< 5,< 5,0
181,GEORGETOWN PLACE,Data Submitted,0,0,0
182,GLASSWATER CREEK OF LAFAYETTE,Data Submitted,< 5,< 5,0
183,GLASSWATER CREEK OF PLAINFIELD,Data Submitted,0,0,0
184,GLEN OAKS HEALTH CAMPUS,Data Submitted,6,< 5,0
185,GOLDEN LIVING CENTER - BLOOMINGTON,Data Submitted,44,19,18
186,GOLDEN LIVING CENTER - BRANDYWINE,Data Submitted,0,5,0
187,GOLDEN LIVING CENTER - BRENTWOOD,Data Submitted,55,9,< 5
188,GOLDEN LIVING CENTER - BROOKVIEW,Data Submitted,45,5,8
189,GOLDEN LIVING CENTER - ELKHART,Data Submitted,36,7,8
190,GOLDEN LIVING CENTER - FOUNTAINVIEW,Data Submitted,5,< 5,< 5
191,GOLDEN LIVING CENTER - FOUNTAINVIEW PLACE,Data Submitted,< 5,9,0
192,GOLDEN LIVING CENTER - FOUNTAINVIEW TERRACE,Data Submitted,65,26,13
193,GOLDEN LIVING CENTER - GOLDEN RULE,Data Submitted,5,14,0
194,GOLDEN LIVING CENTER - INDIANAPOLIS,Data Submitted,0,< 5,0
195,GOLDEN LIVING CENTER - KNOX,Data Submitted,0,< 5,0
196,GOLDEN LIVING CENTER - LAPORTE,Data Submitted,7,< 5,0
197,GOLDEN LIVING CENTER - LINCOLN HILLS,Data Submitted,< 5,< 5,< 5
198,GOLDEN LIVING CENTER - MERRILLVILLE,Data Submitted,34,29,7
199,GOLDEN LIVING CENTER - MUNCIE,Data Submitted,11,5,0
200,GOLDEN LIVING CENTER - PETERSBURG,Data Submitted,0,0,0
201,GOLDEN LIVING CENTER - RICHMOND,Data Submitted,< 5,6,< 5
202,GOLDEN LIVING CENTER - SYCAMORE VILLAGE,Data Submitted,16,6,< 5
203,GOLDEN LIVING CENTER - VALPARAISO,Data Submitted,< 5,10,0
204,GOLDEN LIVING CENTER - WILLOW SPRINGS,Data Submitted,57,9,15
205,GOLDEN LIVING CENTER - WOODBRIDGE,Data Submitted,0,0,0
206,GOLDEN LIVING CENTER - WOODLANDS,Data Submitted,0,< 5,0
207,GOLDEN LIVING CENTER - MISHAWAKA,Data Submitted,0,0,0
208,GOLDEN YEARS HOMESTEAD,Data Submitted,7,8,0
209,GOOD SAMARITAN HOME HEALTH CENTER,Data Submitted,27,19,< 5
210,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,Data Submitted,14,11,< 5
211,GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM,Data Submitted,0,0,0
212,GRACE VILLAGE HEALTH CARE FACILITY,Data Submitted,17,23,< 5
213,GRAND BROOK MEMORY CARE OF FISHERS,Data Submitted,8,< 5,< 5
214,GRAND BROOK MEMORY CARE OF GREENWOOD,Data Submitted,0,0,0
215,GRAND BROOK MEMORY CARE OF ZIONSVILLE,Data Submitted,5,0,< 5
216,GRAND EMERALD PLACE,Data Submitted,0,< 5,0
217,GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Data Submitted,0,< 5,0
218,GRAND VALLEY HEALTH & REHAB,Data Submitted,< 5,< 5,< 5
219,GREAT LAKES HEALTHCARE CENTER,Data Submitted,20,7,< 5
220,GREEN HOUSE COTTAGES OF CARMEL,Data Submitted,< 5,< 5,< 5
221,GREEN HOUSE VILLAGE OF GOSHEN,Data Submitted,0,< 5,0
222,GREEN VALLEY CARE CENTER,Data Submitted,56,34,7
223,GREENBRIAR VILLAGE,Data Submitted,9,0,< 5
224,GREENCROFT HEALTHCARE,Data Submitted,39,31,10
225,GREENFIELD HEALTHCARE CENTER,Data Submitted,77,15,21
226,GREENHILL MANOR,Data Submitted,0,0,0
227,GREENLEAF HEALTH CAMPUS,Data Submitted,46,31,18
228,GREENWOOD HEALTH AND LIVING COMMUNITY,Data Submitted,< 5,0,0
229,GREENWOOD HEALTHCARE CENTER,Data Submitted,191,22,36
230,GREENWOOD VILLAGE SOUTH,Data Submitted,< 5,12,0
231,GREY STONE HEALTH & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
232,HAMILTON GROVE,Data Submitted,39,25,16
233,HAMILTON PLACE,Data Submitted,0,0,0
234,HAMILTON TRACE OF FISHERS,Data Submitted,48,19,17
235,HAMMOND-WHITING CARE CENTER,Data Submitted,53,14,13
236,HAMPTON OAKS HEALTH CAMPUS,Data Submitted,< 5,9,0
237,HANOVER NURSING CENTER,Data Submitted,0,< 5,0
238,HARBOUR MANOR HEALTH & LIVING COMMUNITY,Data Submitted,12,7,< 5
239,HARRISON HEALTHCARE CENTER,Data Submitted,62,13,19
240,HARRISON SPRINGS HEALTH CAMPUS,Data Submitted,0,< 5,0
241,HARRISON'S CROSSING HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5
242,HARTSFIELD VILLAGE ASSISTED LIVING,Data Submitted,< 5,< 5,< 5
243,HEALTH CENTER AT GLENBURN HOME,Data Submitted,97,34,31
244,HEALTHCARE CENTER AT WITTENBERG VILLAGE,Data Submitted,0,< 5,0
245,HEALTHWIN,Data Submitted,40,32,8
246,HEARTH AT WINDERMERE,Data Submitted,15,7,6
247,HEARTHSTONE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
248,HELLENIC SENIOR LIVING OF ELKHART,Data Submitted,0,0,0
249,HELLENIC SENIOR LIVING OF INDIANAPOLIS,Data Submitted,0,0,0
250,HELLENIC SENIOR LIVING OF NEW ALBANY,Data Submitted,0,0,0
251,HERITAGE CENTER,Data Submitted,0,9,0
252,HERITAGE HEALTHCARE,Data Submitted,0,< 5,0
253,HERITAGE HOUSE OF GREENSBURG,Data Submitted,16,17,5
254,HERITAGE HOUSE OF NEW CASTLE,Data Submitted,0,5,0
255,HERITAGE HOUSE OF RICHMOND,Data Submitted,0,0,0
256,HERITAGE HOUSE OF SHELBYVILLE,Data Submitted,0,< 5,0
257,HERITAGE OF HUNTINGTON,Data Submitted,0,6,0
258,HERITAGE POINT ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0,0,0
259,HERITAGE POINT OF WARREN,Data Submitted,< 5,10,0
260,HERITAGE POINTE OF FORT WAYNE,Data Submitted,11,9,< 5
261,HERITAGE WOODS OF NOBLESVILLE,Data Submitted,12,7,< 5
262,HHC-ASC ALLISONVILLE MEADOWS,Data Submitted,0,< 5,0
263,HHC-ASC ALLISONVILLE MEADOWS ASSISTED LIVING,Data Submitted,5,< 5,< 5
264,HHC-ASC AMERICAN VILLAGE,Data Submitted,76,13,13
265,HHC-ASC ARBOR GROVE VILLAGE,Data Submitted,31,15,9
266,HHC-ASC AUTUMN RIDGE REHABILITATION CENTRE,Data Submitted,0,0,0
267,HHC-ASC AVALON VILLAGE,Data Submitted,0,< 5,0
268,HHC-ASC BEECH GROVE MEADOWS,Data Submitted,16,5,< 5
269,HHC-ASC BEN HUR HEALTH AND REHAB,Data Submitted,64,9,18
270,HHC-ASC BETHANY VILLAGE,Data Submitted,0,5,0
271,HHC-ASC BETHANY VILLAGE ASSISTED LIVING,Data Submitted,< 5,< 5,0
272,HHC-ASC BETHLEHEM WOODS NURSING AND REHABILITATION,Data Submitted,68,18,24
273,HHC-ASC BETZ NURSING HOME,Data Submitted,< 5,0,0
274,HHC-ASC BROWNSBURG MEADOWS,Data Submitted,21,< 5,7
275,HHC-ASC CANTERBURY NURSING AND REHABILITATION CENTER,Data Submitted,23,12,< 5
276,HHC-ASC CARDINAL NURSING AND REHABILITATION CENTER,Data Submitted,97,14,19
277,HHC-ASC CLARK REHABILITATION AND SKILLED NURSING CENTER,Data Submitted,0,0,0
278,HHC-ASC CLINTON GARDENS,Data Submitted,0,< 5,0
279,HHC-ASC COLUMBIA HEALTHCARE CENTER,Data Submitted,< 5,5,0
280,HHC-ASC COMMUNITY NURSING AND REHABILITATION CENTER,Data Submitted,11,14,< 5
281,HHC-ASC COUNTRYSIDE MEADOWS,Data Submitted,59,10,12
282,HHC-ASC COVENTRY MEADOWS,Data Submitted,< 5,< 5,0
283,HHC-ASC CREEKSIDE VILLAGE,Data Submitted,46,36,13
284,HHC-ASC CYPRESS GROVE REHABILITATION CENTER,Data Submitted,0,< 5,0
285,HHC-ASC DANVILLE REGIONAL REHABILITATION,Data Submitted,12,6,0
286,HHC-ASC EAGLE VALLEY MEADOWS,Data Submitted,< 5,< 5,0
287,HHC-ASC EAST LAKE NURSING & REHABILITATION CENTER,Data Submitted,< 5,7,0
288,HHC-ASC EASTGATE MANOR NURSING & REHABILITATION CENTER,Data Submitted,0,< 5,0
289,HHC-ASC EDGEWATER WOODS,Data Submitted,0,0,0
290,HHC-ASC ELKHART MEADOWS,Data Submitted,8,15,< 5
291,HHC-ASC FAIRWAY VILLAGE,Data Submitted,41,11,13
292,HHC-ASC FOREST CREEK VILLAGE,Data Submitted,59,9,13
293,HHC-ASC FRANKLIN MEADOWS,Data Submitted,0,< 5,0
294,HHC-ASC GLENBROOK REHABILITATION & SKILLED NURSING CENTER,Data Submitted,0,5,0
295,HHC-ASC GOOD SAMARITAN HOME & REHABILITATIVE CENTER,Data Submitted,31,36,< 5
296,HHC-ASC GREENWOOD MEADOWS,Data Submitted,111,18,31
297,HHC-ASC HARCOURT TERRACE NURSING AND REHABILITATION,Data Submitted,36,7,9
298,HHC-ASC HARRISON TERRACE,Data Submitted,70,21,39
299,HHC-ASC HERITAGE HOUSE REHAB & HEALTH CARE CENTER,Data Submitted,47,16,6
300,HHC-ASC HERITAGE PARK,Data Submitted,79,15,25
301,HHC-ASC HERITAGE PARK COMMONS,Data Submitted,< 5,0,0
302,HHC-ASC HILLCREST VILLAGE,Data Submitted,27,5,< 5
303,HHC-ASC LAKE POINTE VILLAGE,Data Submitted,< 5,< 5,0
304,HHC-ASC LOWELL HEALTHCARE,Data Submitted,0,< 5,0
305,HHC-ASC MAPLE PARK VILLAGE,Data Submitted,< 5,0,< 5
306,HHC-ASC MARKLE HEALTH & REHABILITATION,Data Submitted,0,0,0
307,HHC-ASC MEADOW LAKES,Data Submitted,59,13,15
308,HHC-ASC MEADOW VIEW HEALTH AND REHABILITATION,Data Submitted,0,7,0
309,HHC-ASC MONTICELLO HEALTHCARE,Data Submitted,41,17,10
310,HHC-ASC MOUNT VERNON NURSINGAND REHABILITATION,Data Submitted,10,< 5,< 5
311,HHC-ASC NORTH CAPITOL NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
312,HHC-ASC NORTH PARK NURSING CENTER,Data Submitted,< 5,7,0
313,HHC-ASC NORTH WOODS VILLAGE,Data Submitted,94,11,26
314,HHC-ASC PARK TERRACE VILLAGE,Data Submitted,0,< 5,0
315,HHC-ASC PRAIRIE VILLAGE NURSING & REHAB,Data Submitted,0,< 5,0
316,HHC-ASC RIVERSIDE VILLAGE,Data Submitted,45,< 5,12
317,HHC-ASC RIVERVIEW VILLAGE,Data Submitted,0,< 5,0
318,HHC-ASC RIVERWALK VILLAGE,Data Submitted,< 5,< 5,0
319,HHC-ASC ROSEBUD VILLAGE,Data Submitted,0,< 5,0
320,HHC-ASC ROSEGATE COMMONS ASST LIVING,Data Submitted,11,0,< 5
321,HHC-ASC ROSEGATE VILLAGE,Data Submitted,105,33,26
322,HHC-ASC ROSEWALK AT LUTHERWOODS,Data Submitted,< 5,< 5,0
323,HHC-ASC ROSEWALK VILLAGE,Data Submitted,5,< 5,0
324,HHC-ASC ROSEWALK VILLAGE OF LAFAYETTE,Data Submitted,55,13,5
325,HHC-ASC SALEM CROSSING,Data Submitted,0,< 5,0
326,HHC-ASC SEYMOUR CROSSING,Data Submitted,0,< 5,0
327,HHC-ASC SPRING MILL MEADOWS,Data Submitted,46,10,13
328,HHC-ASC SPRINGHILL VILLAGE,Data Submitted,0,< 5,0
329,HHC-ASC SPRINGS VALLEY MEADOWS,Data Submitted,0,< 5,0
330,HHC-ASC STONEBROOKE REHAB CENTER,Data Submitted,55,21,12
331,HHC-ASC SUMMIT CITY NURSING AND REHABILITATION,Data Submitted,< 5,6,0
332,HHC-ASC SWISS VILLA NURSING AND REHABILITATION,Data Submitted,0,< 5,0
333,HHC-ASC TIMBERS OF JASPER,Data Submitted,0,< 5,0
334,HHC-ASC TODD-DICKEY NURSING AND REHABILITATION,Data Submitted,< 5,< 5,0
335,HHC-ASC TRAILPOINT VILLAGE,Data Submitted,57,26,< 5
336,HHC-ASC UNIVERSITY NURSING CENTER,Data Submitted,0,8,0
337,HHC-ASC VALPARAISO CARE & REHABILITATION,Data Submitted,0,6,0
338,HHC-ASC WASHINGTON HEALTHCARE CENTER,Data Submitted,30,9,8
339,HHC-ASC WATERS EDGE VILLAGE,Data Submitted,10,14,< 5
340,HHC-ASC WEST BEND NURSING AND REHABILITATION,Data Submitted,46,13,9
341,HHC-ASC WESTVIEW NURSING AND REHABILITATION CENTER,Data Submitted,28,9,7
342,HHC-ASC WILLIAMSPORT NURSING AND REHABILITATION,Data Submitted,0,0,0
343,HHC-ASC WILLOWDALE VILLAGE,Data Submitted,< 5,0,0
344,HHC-ASC ZIONSVILLE MEADOWS,Data Submitted,19,< 5,5
345,HI JILL'S HOUSE,Data Submitted,0,< 5,0
346,HICKORY CREEK AT COLUMBUS,Data Submitted,0,< 5,0
347,HICKORY CREEK AT CONNERSVILLE,Data Submitted,0,< 5,0
348,HICKORY CREEK AT CRAWFORDSVILLE,Data Submitted,0,0,0
349,HICKORY CREEK AT FRANKLIN,Data Submitted,0,0,0
350,HICKORY CREEK AT GREENSBURG,Data Submitted,0,< 5,0
351,HICKORY CREEK AT HUNTINGTON,Data Submitted,0,< 5,0
352,HICKORY CREEK AT KENDALLVILLE,Data Submitted,0,0,0
353,HICKORY CREEK AT MADISON,Data Submitted,0,< 5,0
354,HICKORY CREEK AT NEW CASTLE,Data Submitted,< 5,0,< 5
355,HICKORY CREEK AT PERU,Data Submitted,0,0,0
356,HICKORY CREEK AT ROCHESTER,Data Submitted,0,0,0
357,HICKORY CREEK AT SCOTTSBURG,Data Submitted,0,0,0
358,HICKORY CREEK AT SUNSET,Data Submitted,0,0,0
359,HICKORY CREEK AT WINAMAC,Data Submitted,0,0,0
360,HILDEGARD HEALTH CENTER,Data Submitted,0,< 5,0
361,HILLSIDE MANOR NURSING HOME,Data Submitted,0,0,0
362,HOLY CROSS VILLAGE AT NOTRE DAME,Data Submitted,0,16,0
363,HOMESTEAD HEALTHCARE CENTER,Data Submitted,< 5,< 5,< 5
364,HOMEVIEW CENTER OF FRANKLIN,Data Submitted,0,0,0
365,HOMEWOOD HEALTH CAMPUS,Data Submitted,44,15,19
366,HOOSIER CHRISTIAN VILLAGE,Data Submitted,0,< 5,0
367,HOOSIER VILLAGE,Data Submitted,14,20,< 5
368,HOOVERWOOD,Data Submitted,42,42,19
369,HUBBARD HILL ESTATES,Data Submitted,14,21,< 5
