_id,date,agegrp,covid_deaths
61,2020-04-04T00:00:00,70-79,8
62,2020-04-04T00:00:00,80+,11
63,2020-04-05T00:00:00,40-49,2
64,2020-04-05T00:00:00,50-59,4
65,2020-04-05T00:00:00,60-69,7
66,2020-04-05T00:00:00,70-79,5
67,2020-04-05T00:00:00,80+,16
68,2020-04-06T00:00:00,30-39,1
69,2020-04-06T00:00:00,40-49,2
70,2020-04-06T00:00:00,50-59,2
71,2020-04-06T00:00:00,60-69,4
72,2020-04-06T00:00:00,70-79,7
73,2020-04-06T00:00:00,80+,9
74,2020-04-07T00:00:00,30-39,1
75,2020-04-07T00:00:00,50-59,2
76,2020-04-07T00:00:00,60-69,6
77,2020-04-07T00:00:00,70-79,11
78,2020-04-07T00:00:00,80+,16
79,2020-04-08T00:00:00,40-49,1
80,2020-04-08T00:00:00,50-59,2
81,2020-04-08T00:00:00,60-69,5
82,2020-04-08T00:00:00,70-79,7
83,2020-04-08T00:00:00,80+,14
84,2020-04-09T00:00:00,40-49,1
85,2020-04-09T00:00:00,50-59,1
86,2020-04-09T00:00:00,60-69,9
87,2020-04-09T00:00:00,70-79,11
88,2020-04-09T00:00:00,80+,15
89,2020-04-10T00:00:00,40-49,1
90,2020-04-10T00:00:00,50-59,1
91,2020-04-10T00:00:00,60-69,7
92,2020-04-10T00:00:00,70-79,2
93,2020-04-10T00:00:00,80+,14
94,2020-04-11T00:00:00,50-59,2
95,2020-04-11T00:00:00,60-69,4
96,2020-04-11T00:00:00,70-79,5
97,2020-04-11T00:00:00,80+,9
98,2020-04-12T00:00:00,40-49,2
99,2020-04-12T00:00:00,50-59,4
100,2020-04-12T00:00:00,60-69,4
101,2020-04-12T00:00:00,70-79,6
102,2020-04-12T00:00:00,80+,13
103,2020-04-13T00:00:00,40-49,1
104,2020-04-13T00:00:00,50-59,1
105,2020-04-13T00:00:00,60-69,8
106,2020-04-13T00:00:00,70-79,14
107,2020-04-13T00:00:00,80+,11
108,2020-04-14T00:00:00,40-49,2
109,2020-04-14T00:00:00,50-59,2
110,2020-04-14T00:00:00,60-69,10
111,2020-04-14T00:00:00,70-79,13
112,2020-04-14T00:00:00,80+,19
113,2020-04-15T00:00:00,50-59,1
114,2020-04-15T00:00:00,60-69,8
115,2020-04-15T00:00:00,70-79,12
116,2020-04-15T00:00:00,80+,17
117,2020-04-16T00:00:00,40-49,1
118,2020-04-16T00:00:00,50-59,1
119,2020-04-16T00:00:00,60-69,7
120,2020-04-16T00:00:00,70-79,4
121,2020-04-16T00:00:00,80+,21
122,2020-04-17T00:00:00,20-29,2
123,2020-04-17T00:00:00,50-59,1
124,2020-04-17T00:00:00,60-69,5
125,2020-04-17T00:00:00,70-79,11
126,2020-04-17T00:00:00,80+,17
127,2020-04-18T00:00:00,40-49,1
128,2020-04-18T00:00:00,50-59,3
129,2020-04-18T00:00:00,60-69,3
130,2020-04-18T00:00:00,70-79,7
131,2020-04-18T00:00:00,80+,14
132,2020-04-19T00:00:00,40-49,1
133,2020-04-19T00:00:00,50-59,1
134,2020-04-19T00:00:00,60-69,6
135,2020-04-19T00:00:00,70-79,9
136,2020-04-19T00:00:00,80+,20
137,2020-04-20T00:00:00,30-39,1
138,2020-04-20T00:00:00,50-59,1
139,2020-04-20T00:00:00,60-69,9
140,2020-04-20T00:00:00,70-79,7
141,2020-04-20T00:00:00,80+,20
142,2020-04-21T00:00:00,30-39,1
143,2020-04-21T00:00:00,50-59,3
144,2020-04-21T00:00:00,60-69,6
145,2020-04-21T00:00:00,70-79,15
146,2020-04-21T00:00:00,80+,24
147,2020-04-22T00:00:00,40-49,1
148,2020-04-22T00:00:00,50-59,2
149,2020-04-22T00:00:00,60-69,3
150,2020-04-22T00:00:00,70-79,17
151,2020-04-22T00:00:00,80+,27
152,2020-04-23T00:00:00,50-59,2
153,2020-04-23T00:00:00,60-69,4
154,2020-04-23T00:00:00,70-79,7
155,2020-04-23T00:00:00,80+,25
156,2020-04-24T00:00:00,30-39,1
157,2020-04-24T00:00:00,40-49,1
158,2020-04-24T00:00:00,50-59,2
159,2020-04-24T00:00:00,60-69,2
160,2020-04-24T00:00:00,70-79,13
161,2020-04-24T00:00:00,80+,18
162,2020-04-25T00:00:00,50-59,3
163,2020-04-25T00:00:00,60-69,10
164,2020-04-25T00:00:00,70-79,11
165,2020-04-25T00:00:00,80+,17
166,2020-04-26T00:00:00,50-59,1
167,2020-04-26T00:00:00,60-69,5
168,2020-04-26T00:00:00,70-79,11
169,2020-04-26T00:00:00,80+,17
170,2020-04-27T00:00:00,0-19,1
171,2020-04-27T00:00:00,30-39,1
172,2020-04-27T00:00:00,40-49,1
173,2020-04-27T00:00:00,50-59,3
174,2020-04-27T00:00:00,60-69,3
175,2020-04-27T00:00:00,70-79,10
176,2020-04-27T00:00:00,80+,23
177,2020-04-28T00:00:00,30-39,1
178,2020-04-28T00:00:00,40-49,1
179,2020-04-28T00:00:00,50-59,1
180,2020-04-28T00:00:00,60-69,2
181,2020-04-28T00:00:00,70-79,5
182,2020-04-28T00:00:00,80+,24
183,2020-04-29T00:00:00,50-59,5
184,2020-04-29T00:00:00,60-69,7
185,2020-04-29T00:00:00,70-79,11
186,2020-04-29T00:00:00,80+,20
187,2020-04-30T00:00:00,60-69,7
188,2020-04-30T00:00:00,70-79,8
189,2020-04-30T00:00:00,80+,30
190,2020-05-01T00:00:00,50-59,3
191,2020-05-01T00:00:00,60-69,6
192,2020-05-01T00:00:00,70-79,5
193,2020-05-01T00:00:00,80+,22
194,2020-05-02T00:00:00,40-49,3
195,2020-05-02T00:00:00,50-59,1
196,2020-05-02T00:00:00,60-69,3
197,2020-05-02T00:00:00,70-79,9
198,2020-05-02T00:00:00,80+,28
199,2020-05-03T00:00:00,60-69,3
200,2020-05-03T00:00:00,70-79,7
201,2020-05-03T00:00:00,80+,22
202,2020-05-04T00:00:00,40-49,2
203,2020-05-04T00:00:00,50-59,2
204,2020-05-04T00:00:00,60-69,6
205,2020-05-04T00:00:00,70-79,13
206,2020-05-04T00:00:00,80+,15
207,2020-05-05T00:00:00,30-39,1
208,2020-05-05T00:00:00,50-59,2
209,2020-05-05T00:00:00,60-69,5
210,2020-05-05T00:00:00,70-79,6
211,2020-05-05T00:00:00,80+,24
212,2020-05-06T00:00:00,20-29,1
213,2020-05-06T00:00:00,30-39,1
214,2020-05-06T00:00:00,40-49,1
215,2020-05-06T00:00:00,50-59,3
216,2020-05-06T00:00:00,60-69,7
217,2020-05-06T00:00:00,70-79,12
218,2020-05-06T00:00:00,80+,18
219,2020-05-07T00:00:00,50-59,3
220,2020-05-07T00:00:00,60-69,5
221,2020-05-07T00:00:00,70-79,8
222,2020-05-07T00:00:00,80+,18
223,2020-05-08T00:00:00,50-59,2
224,2020-05-08T00:00:00,60-69,8
225,2020-05-08T00:00:00,70-79,1
226,2020-05-08T00:00:00,80+,14
227,2020-05-09T00:00:00,60-69,5
228,2020-05-09T00:00:00,70-79,9
229,2020-05-09T00:00:00,80+,18
230,2020-05-10T00:00:00,20-29,1
231,2020-05-10T00:00:00,50-59,2
232,2020-05-10T00:00:00,60-69,3
233,2020-05-10T00:00:00,70-79,6
234,2020-05-10T00:00:00,80+,22
235,2020-05-11T00:00:00,40-49,2
236,2020-05-11T00:00:00,50-59,3
237,2020-05-11T00:00:00,60-69,5
238,2020-05-11T00:00:00,70-79,9
239,2020-05-11T00:00:00,80+,22
240,2020-05-12T00:00:00,0-19,1
241,2020-05-12T00:00:00,40-49,1
242,2020-05-12T00:00:00,50-59,2
243,2020-05-12T00:00:00,60-69,6
244,2020-05-12T00:00:00,70-79,4
245,2020-05-12T00:00:00,80+,24
246,2020-05-13T00:00:00,40-49,1
247,2020-05-13T00:00:00,50-59,2
248,2020-05-13T00:00:00,60-69,7
249,2020-05-13T00:00:00,70-79,5
250,2020-05-13T00:00:00,80+,12
251,2020-05-14T00:00:00,50-59,3
252,2020-05-14T00:00:00,60-69,5
253,2020-05-14T00:00:00,70-79,7
254,2020-05-14T00:00:00,80+,27
255,2020-05-15T00:00:00,40-49,1
256,2020-05-15T00:00:00,60-69,6
257,2020-05-15T00:00:00,70-79,5
258,2020-05-15T00:00:00,80+,20
259,2020-05-16T00:00:00,40-49,2
260,2020-05-16T00:00:00,60-69,5
261,2020-05-16T00:00:00,70-79,8
262,2020-05-16T00:00:00,80+,13
263,2020-05-17T00:00:00,20-29,1
264,2020-05-17T00:00:00,30-39,1
265,2020-05-17T00:00:00,50-59,1
266,2020-05-17T00:00:00,60-69,4
267,2020-05-17T00:00:00,70-79,6
268,2020-05-17T00:00:00,80+,17
269,2020-05-18T00:00:00,50-59,2
270,2020-05-18T00:00:00,60-69,5
271,2020-05-18T00:00:00,70-79,9
272,2020-05-18T00:00:00,80+,23
273,2020-05-19T00:00:00,40-49,1
274,2020-05-19T00:00:00,50-59,1
275,2020-05-19T00:00:00,60-69,5
276,2020-05-19T00:00:00,70-79,6
277,2020-05-19T00:00:00,80+,16
278,2020-05-20T00:00:00,40-49,2
279,2020-05-20T00:00:00,60-69,3
280,2020-05-20T00:00:00,70-79,5
281,2020-05-20T00:00:00,80+,21
282,2020-05-21T00:00:00,40-49,1
283,2020-05-21T00:00:00,60-69,4
284,2020-05-21T00:00:00,70-79,12
285,2020-05-21T00:00:00,80+,20
286,2020-05-22T00:00:00,50-59,4
287,2020-05-22T00:00:00,60-69,3
288,2020-05-22T00:00:00,70-79,6
289,2020-05-22T00:00:00,80+,5
290,2020-05-23T00:00:00,50-59,3
291,2020-05-23T00:00:00,60-69,4
292,2020-05-23T00:00:00,70-79,4
293,2020-05-23T00:00:00,80+,13
294,2020-05-24T00:00:00,60-69,1
295,2020-05-24T00:00:00,70-79,8
296,2020-05-24T00:00:00,80+,6
297,2020-05-25T00:00:00,30-39,1
298,2020-05-25T00:00:00,60-69,3
299,2020-05-25T00:00:00,70-79,6
300,2020-05-25T00:00:00,80+,11
301,2020-05-26T00:00:00,50-59,1
302,2020-05-26T00:00:00,60-69,3
303,2020-05-26T00:00:00,70-79,5
304,2020-05-26T00:00:00,80+,10
305,2020-05-27T00:00:00,70-79,7
306,2020-05-27T00:00:00,80+,7
307,2020-05-28T00:00:00,50-59,2
308,2020-05-28T00:00:00,60-69,3
309,2020-05-28T00:00:00,70-79,3
310,2020-05-28T00:00:00,80+,10
311,2020-05-29T00:00:00,50-59,2
312,2020-05-29T00:00:00,60-69,5
313,2020-05-29T00:00:00,70-79,1
314,2020-05-29T00:00:00,80+,13
315,2020-05-30T00:00:00,60-69,3
316,2020-05-30T00:00:00,70-79,6
317,2020-05-30T00:00:00,80+,12
318,2020-05-31T00:00:00,40-49,1
319,2020-05-31T00:00:00,60-69,2
320,2020-05-31T00:00:00,70-79,1
321,2020-05-31T00:00:00,80+,12
322,2020-06-01T00:00:00,40-49,1
323,2020-06-01T00:00:00,60-69,3
324,2020-06-01T00:00:00,70-79,4
325,2020-06-01T00:00:00,80+,12
326,2020-06-02T00:00:00,50-59,1
327,2020-06-02T00:00:00,60-69,2
328,2020-06-02T00:00:00,70-79,4
329,2020-06-02T00:00:00,80+,8
330,2020-06-03T00:00:00,50-59,1
331,2020-06-03T00:00:00,60-69,8
332,2020-06-03T00:00:00,70-79,5
333,2020-06-03T00:00:00,80+,10
334,2020-06-04T00:00:00,40-49,1
335,2020-06-04T00:00:00,60-69,5
336,2020-06-04T00:00:00,70-79,4
337,2020-06-04T00:00:00,80+,12
338,2020-06-05T00:00:00,40-49,1
339,2020-06-05T00:00:00,50-59,2
340,2020-06-05T00:00:00,60-69,6
341,2020-06-05T00:00:00,70-79,5
342,2020-06-05T00:00:00,80+,7
343,2020-06-06T00:00:00,60-69,2
344,2020-06-06T00:00:00,70-79,1
345,2020-06-06T00:00:00,80+,5
346,2020-06-07T00:00:00,60-69,2
347,2020-06-07T00:00:00,70-79,6
348,2020-06-07T00:00:00,80+,7
349,2020-06-08T00:00:00,60-69,2
350,2020-06-08T00:00:00,70-79,5
351,2020-06-08T00:00:00,80+,9
352,2020-06-09T00:00:00,60-69,6
353,2020-06-09T00:00:00,70-79,5
354,2020-06-09T00:00:00,80+,12
355,2020-06-10T00:00:00,30-39,1
356,2020-06-10T00:00:00,60-69,1
357,2020-06-10T00:00:00,70-79,4
358,2020-06-10T00:00:00,80+,11
359,2020-06-11T00:00:00,50-59,2
360,2020-06-11T00:00:00,60-69,2
361,2020-06-11T00:00:00,70-79,4
362,2020-06-11T00:00:00,80+,7
363,2020-06-12T00:00:00,50-59,1
364,2020-06-12T00:00:00,60-69,3
365,2020-06-12T00:00:00,70-79,3
366,2020-06-12T00:00:00,80+,6
367,2020-06-13T00:00:00,40-49,1
368,2020-06-13T00:00:00,60-69,2
369,2020-06-13T00:00:00,70-79,4
370,2020-06-13T00:00:00,80+,2
371,2020-06-14T00:00:00,50-59,1
372,2020-06-14T00:00:00,60-69,1
373,2020-06-14T00:00:00,70-79,7
374,2020-06-14T00:00:00,80+,12
375,2020-06-15T00:00:00,30-39,1
376,2020-06-15T00:00:00,60-69,3
377,2020-06-15T00:00:00,70-79,1
378,2020-06-15T00:00:00,80+,8
379,2020-06-16T00:00:00,50-59,1
380,2020-06-16T00:00:00,60-69,3
381,2020-06-16T00:00:00,70-79,7
382,2020-06-16T00:00:00,80+,2
383,2020-06-17T00:00:00,50-59,1
384,2020-06-17T00:00:00,60-69,3
385,2020-06-17T00:00:00,70-79,4
386,2020-06-17T00:00:00,80+,9
387,2020-06-18T00:00:00,60-69,4
388,2020-06-18T00:00:00,70-79,8
389,2020-06-18T00:00:00,80+,11
390,2020-06-19T00:00:00,50-59,1
391,2020-06-19T00:00:00,60-69,1
392,2020-06-19T00:00:00,70-79,2
393,2020-06-19T00:00:00,80+,9
394,2020-06-20T00:00:00,60-69,1
395,2020-06-20T00:00:00,70-79,1
396,2020-06-20T00:00:00,80+,8
397,2020-06-21T00:00:00,60-69,3
398,2020-06-21T00:00:00,70-79,3
399,2020-06-21T00:00:00,80+,5
400,2020-06-22T00:00:00,20-29,1
401,2020-06-22T00:00:00,40-49,1
402,2020-06-22T00:00:00,50-59,2
403,2020-06-22T00:00:00,60-69,2
404,2020-06-22T00:00:00,70-79,4
405,2020-06-22T00:00:00,80+,4
406,2020-06-23T00:00:00,70-79,1
407,2020-06-23T00:00:00,80+,3
408,2020-06-24T00:00:00,70-79,2
409,2020-06-24T00:00:00,80+,8
410,2020-06-25T00:00:00,60-69,2
411,2020-06-25T00:00:00,70-79,2
412,2020-06-25T00:00:00,80+,8
413,2020-06-26T00:00:00,30-39,1
414,2020-06-26T00:00:00,70-79,3
415,2020-06-26T00:00:00,80+,8
416,2020-06-27T00:00:00,60-69,1
417,2020-06-27T00:00:00,70-79,3
418,2020-06-27T00:00:00,80+,6
419,2020-06-28T00:00:00,60-69,3
420,2020-06-28T00:00:00,70-79,1
421,2020-06-28T00:00:00,80+,5
422,2020-06-29T00:00:00,50-59,1
423,2020-06-29T00:00:00,70-79,2
424,2020-06-29T00:00:00,80+,5
425,2020-06-30T00:00:00,50-59,1
426,2020-06-30T00:00:00,60-69,1
427,2020-06-30T00:00:00,70-79,1
428,2020-06-30T00:00:00,80+,4
429,2020-07-01T00:00:00,40-49,1
430,2020-07-01T00:00:00,50-59,1
431,2020-07-01T00:00:00,60-69,1
432,2020-07-01T00:00:00,70-79,1
433,2020-07-01T00:00:00,80+,7
434,2020-07-02T00:00:00,30-39,1
435,2020-07-02T00:00:00,70-79,2
436,2020-07-02T00:00:00,80+,5
437,2020-07-03T00:00:00,70-79,5
438,2020-07-03T00:00:00,80+,4
439,2020-07-04T00:00:00,50-59,1
440,2020-07-04T00:00:00,60-69,3
441,2020-07-04T00:00:00,70-79,1
442,2020-07-04T00:00:00,80+,2
443,2020-07-05T00:00:00,70-79,1
444,2020-07-05T00:00:00,80+,10
445,2020-07-06T00:00:00,50-59,3
446,2020-07-06T00:00:00,60-69,2
447,2020-07-06T00:00:00,70-79,3
448,2020-07-06T00:00:00,80+,7
449,2020-07-07T00:00:00,70-79,2
450,2020-07-07T00:00:00,80+,4
451,2020-07-08T00:00:00,20-29,1
452,2020-07-08T00:00:00,60-69,1
453,2020-07-08T00:00:00,70-79,2
454,2020-07-08T00:00:00,80+,4
455,2020-07-09T00:00:00,30-39,1
456,2020-07-09T00:00:00,50-59,1
457,2020-07-09T00:00:00,60-69,3
458,2020-07-09T00:00:00,70-79,2
459,2020-07-09T00:00:00,80+,3
460,2020-07-10T00:00:00,50-59,1
461,2020-07-10T00:00:00,60-69,1
462,2020-07-10T00:00:00,70-79,3
463,2020-07-10T00:00:00,80+,2
464,2020-07-11T00:00:00,70-79,4
465,2020-07-11T00:00:00,80+,4
466,2020-07-12T00:00:00,50-59,2
467,2020-07-12T00:00:00,70-79,6
468,2020-07-12T00:00:00,80+,5
469,2020-07-13T00:00:00,60-69,2
470,2020-07-13T00:00:00,70-79,3
471,2020-07-13T00:00:00,80+,4
472,2020-07-14T00:00:00,70-79,2
473,2020-07-14T00:00:00,80+,3
474,2020-07-15T00:00:00,60-69,2
475,2020-07-15T00:00:00,70-79,3
476,2020-07-15T00:00:00,80+,5
477,2020-07-16T00:00:00,60-69,2
478,2020-07-16T00:00:00,70-79,3
479,2020-07-16T00:00:00,80+,4
480,2020-07-17T00:00:00,60-69,3
481,2020-07-17T00:00:00,70-79,1
482,2020-07-17T00:00:00,80+,5
483,2020-07-18T00:00:00,20-29,1
484,2020-07-18T00:00:00,50-59,1
485,2020-07-18T00:00:00,70-79,1
486,2020-07-18T00:00:00,80+,3
487,2020-07-19T00:00:00,60-69,2
488,2020-07-19T00:00:00,70-79,1
489,2020-07-19T00:00:00,80+,5
490,2020-07-20T00:00:00,60-69,4
491,2020-07-20T00:00:00,70-79,4
492,2020-07-20T00:00:00,80+,5
493,2020-07-21T00:00:00,50-59,1
494,2020-07-21T00:00:00,60-69,1
495,2020-07-21T00:00:00,70-79,2
496,2020-07-21T00:00:00,80+,5
497,2020-07-22T00:00:00,50-59,1
498,2020-07-22T00:00:00,60-69,1
499,2020-07-22T00:00:00,70-79,1
500,2020-07-22T00:00:00,80+,10
501,2020-07-23T00:00:00,60-69,5
502,2020-07-23T00:00:00,70-79,2
503,2020-07-23T00:00:00,80+,3
504,2020-07-24T00:00:00,60-69,3
505,2020-07-24T00:00:00,70-79,4
506,2020-07-24T00:00:00,80+,2
507,2020-07-25T00:00:00,50-59,1
508,2020-07-25T00:00:00,70-79,2
509,2020-07-25T00:00:00,80+,5
510,2020-07-26T00:00:00,60-69,1
511,2020-07-26T00:00:00,70-79,1
512,2020-07-26T00:00:00,80+,6
513,2020-07-27T00:00:00,60-69,2
514,2020-07-27T00:00:00,70-79,1
515,2020-07-27T00:00:00,80+,1
516,2020-07-28T00:00:00,40-49,1
517,2020-07-28T00:00:00,60-69,1
518,2020-07-28T00:00:00,70-79,2
519,2020-07-28T00:00:00,80+,2
520,2020-07-29T00:00:00,20-29,1
521,2020-07-29T00:00:00,70-79,6
522,2020-07-29T00:00:00,80+,12
523,2020-07-30T00:00:00,50-59,2
524,2020-07-30T00:00:00,60-69,1
525,2020-07-30T00:00:00,70-79,2
526,2020-07-30T00:00:00,80+,4
527,2020-07-31T00:00:00,50-59,1
528,2020-07-31T00:00:00,60-69,2
529,2020-07-31T00:00:00,70-79,2
530,2020-07-31T00:00:00,80+,5
531,2020-08-01T00:00:00,50-59,1
532,2020-08-01T00:00:00,60-69,1
533,2020-08-01T00:00:00,70-79,4
534,2020-08-01T00:00:00,80+,5
535,2020-08-02T00:00:00,70-79,4
536,2020-08-02T00:00:00,80+,5
537,2020-08-03T00:00:00,40-49,1
538,2020-08-03T00:00:00,70-79,2
539,2020-08-03T00:00:00,80+,6
540,2020-08-04T00:00:00,50-59,2
541,2020-08-04T00:00:00,70-79,1
542,2020-08-04T00:00:00,80+,5
543,2020-08-05T00:00:00,60-69,1
544,2020-08-05T00:00:00,70-79,2
545,2020-08-05T00:00:00,80+,1
546,2020-08-06T00:00:00,60-69,2
547,2020-08-06T00:00:00,70-79,5
548,2020-08-06T00:00:00,80+,6
549,2020-08-07T00:00:00,40-49,1
550,2020-08-07T00:00:00,50-59,1
551,2020-08-07T00:00:00,60-69,1
552,2020-08-07T00:00:00,70-79,6
553,2020-08-07T00:00:00,80+,4
554,2020-08-08T00:00:00,50-59,1
555,2020-08-08T00:00:00,60-69,4
556,2020-08-08T00:00:00,70-79,2
557,2020-08-08T00:00:00,80+,3
558,2020-08-09T00:00:00,60-69,1
559,2020-08-09T00:00:00,70-79,3
560,2020-08-09T00:00:00,80+,2
561,2020-08-10T00:00:00,50-59,1
562,2020-08-10T00:00:00,60-69,2
563,2020-08-10T00:00:00,70-79,4
564,2020-08-10T00:00:00,80+,9
565,2020-08-11T00:00:00,50-59,1
566,2020-08-11T00:00:00,70-79,5
567,2020-08-11T00:00:00,80+,7
568,2020-08-12T00:00:00,60-69,2
569,2020-08-12T00:00:00,70-79,3
570,2020-08-12T00:00:00,80+,9
571,2020-08-13T00:00:00,40-49,1
572,2020-08-13T00:00:00,50-59,2
573,2020-08-13T00:00:00,70-79,1
574,2020-08-13T00:00:00,80+,9
575,2020-08-14T00:00:00,60-69,1
576,2020-08-14T00:00:00,70-79,3
577,2020-08-14T00:00:00,80+,9
578,2020-08-15T00:00:00,70-79,4
579,2020-08-15T00:00:00,80+,3
580,2020-08-16T00:00:00,50-59,1
581,2020-08-16T00:00:00,60-69,3
582,2020-08-16T00:00:00,70-79,3
583,2020-08-16T00:00:00,80+,4
584,2020-08-17T00:00:00,30-39,1
585,2020-08-17T00:00:00,50-59,1
586,2020-08-17T00:00:00,60-69,3
587,2020-08-17T00:00:00,70-79,6
588,2020-08-17T00:00:00,80+,7
589,2020-08-18T00:00:00,60-69,1
590,2020-08-18T00:00:00,70-79,3
591,2020-08-18T00:00:00,80+,1
592,2020-08-19T00:00:00,60-69,3
593,2020-08-19T00:00:00,70-79,4
594,2020-08-19T00:00:00,80+,2
595,2020-08-20T00:00:00,40-49,1
596,2020-08-20T00:00:00,60-69,2
597,2020-08-20T00:00:00,70-79,1
598,2020-08-20T00:00:00,80+,3
